Discipline,Épreuve,Phase,Genre,Début,Fin,date_debut,date_fin,Heure
Cérémonie,Cérémonie d'ouverture,,Mixte,2024-07-26T20:00:00Z,2024-07-26T23:15:00Z,2024-07-26T20:00:00Z,2024-07-26T23:15:00Z,2024-07-26 20:00
Cérémonie,Cérémonie d'ouverture,,Mixte,2024-07-26T20:00:00Z,2024-07-26T23:15:00Z,2024-07-26T20:00:00Z,2024-07-26T23:15:00Z,2024-07-26 21:00
Cérémonie,Cérémonie d'ouverture,,Mixte,2024-07-26T20:00:00Z,2024-07-26T23:15:00Z,2024-07-26T20:00:00Z,2024-07-26T23:15:00Z,2024-07-26 22:00
Cérémonie,Cérémonie d'ouverture,,Mixte,2024-07-26T20:00:00Z,2024-07-26T23:15:00Z,2024-07-26T20:00:00Z,2024-07-26T23:15:00Z,2024-07-26 23:00
Cérémonie,Cérémonie d'ouverture,,Mixte,2024-07-26T20:00:00Z,2024-07-26T23:15:00Z,2024-07-26T20:00:00Z,2024-07-26T23:15:00Z,2024-07-27 00:00
Cérémonie,Cérémonie de clôture,,Mixte,2024-08-11T20:00:00Z,2024-08-11T23:15:00Z,2024-08-11T20:00:00Z,2024-08-11T23:15:00Z,2024-08-11 20:00
Cérémonie,Cérémonie de clôture,,Mixte,2024-08-11T20:00:00Z,2024-08-11T23:15:00Z,2024-08-11T20:00:00Z,2024-08-11T23:15:00Z,2024-08-11 21:00
Cérémonie,Cérémonie de clôture,,Mixte,2024-08-11T20:00:00Z,2024-08-11T23:15:00Z,2024-08-11T20:00:00Z,2024-08-11T23:15:00Z,2024-08-11 22:00
Cérémonie,Cérémonie de clôture,,Mixte,2024-08-11T20:00:00Z,2024-08-11T23:15:00Z,2024-08-11T20:00:00Z,2024-08-11T23:15:00Z,2024-08-11 23:00
Cérémonie,Cérémonie de clôture,,Mixte,2024-08-11T20:00:00Z,2024-08-11T23:15:00Z,2024-08-11T20:00:00Z,2024-08-11T23:15:00Z,2024-08-12 00:00
Athlétisme,20 km marche,finale,Hommes,2024-08-01T07:30:00Z,2024-08-01T11:05:00Z,2024-08-01T07:30:00Z,2024-08-01T11:05:00Z,2024-08-01 07:00
